"id","soiltype","taxgrsc","x","y","uhdicm_a","lhdicm_a","sndmht_a","sltmht_a","clymht_a","uhdicm_b","lhdicm_b","sndmht_b","sltmht_b","clymht_b","uhdicm_c","lhdicm_c","sndmht_c","sltmht_c","clymht_c","uhdicm_d","lhdicm_d","sndmht_d","sltmht_d","clymht_d","uhdicm_e","lhdicm_e","sndmht_e","sltmht_e","clymht_e"
"id2833",NA,NA,569278.749705218,5711436.66863753,0,10,11.75,39.95,51.7,10,30,11.75,39.95,51.7,30,50,12.5,42.5,55,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx013",NA,NA,569279.734597694,5710029.2351536,0,10,16.6,33.2,33.2,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id2835",NA,NA,569280.737989443,5710391.08949544,0,10,6.11,71.91,22.09,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx014",NA,NA,569283.7467016,5711337.7084321,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx015",NA,NA,569285.734674341,5710262.14136351,0,10,7.5,15,15,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1860",NA,NA,569287.751031692,5711903.48064959,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"idx016",NA,NA,569287.757194404,5712494.24283296,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2836",NA,NA,569290.740447158,5711002.8431727,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3306",NA,NA,569292.726476386,5709741.35094228,0,10,11.75,39.95,51.7,10,30,11.75,39.95,51.7,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0101",NA,NA,569293.77321034,5714259.53209473,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id2837",NA,NA,569296.754944689,5712619.19244957,0,10,18.8,37.6,37.6,10,30,16.6,33.2,33.2,30,50,12.5,25,25,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0102",NA,NA,569300.72501463,5709902.28610884,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id1861",NA,NA,569302.761548253,5713480.84550211,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx017",NA,NA,569304.7345695,5710967.85714747,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2838",NA,NA,569308.73606033,5711261.7388126,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2839",NA,NA,569313.7522711,5713007.0361493,0,10,20,40,40,10,30,12.5,25,25,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0103",NA,NA,569317.759287708,5713833.70328674,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id1862","Z","Pararendzina",569320.683197618,5706655.59280256,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,12.5,25,25,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0104",NA,NA,569320.755493507,5713582.80427237,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0105",NA,NA,569321.741788675,5712303.31938798,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id2840","B","Braunerde",569322.681954608,5706611.61049674,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0106",NA,NA,569322.718421994,5710099.20668958,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0107",NA,NA,569323.719968699,5710285.13183819,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1863",NA,NA,569324.716748985,5710014.24087859,0,10,18.8,37.6,37.6,10,30,12.5,25,25,30,50,12.5,25,25,50,70,7.5,15,15,70,90,7.5,15,15
"id0108",NA,NA,569326.757244426,5713979.64443417,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id1864",NA,NA,569329.736801593,5712127.39014505,0,10,20,40,40,10,30,20,40,40,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"idx019",NA,NA,569329.746159388,5713027.02794742,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0109",NA,NA,569333.758791864,5714395.47693071,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3307",NA,NA,569334.730460412,5711707.55912314,0,10,10.375,35.275,45.65,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0110",NA,NA,569335.737013621,5712375.29028712,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id2841",NA,NA,569339.706723665,5709618.40012406,0,10,20,40,40,10,30,20,40,40,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx020",NA,NA,569340.721363237,5711060.81944366,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0111","L","Parabraunerde",569341.67332094,5706496.65669153,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx021",NA,NA,569341.717825593,5710758.94096654,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2842",NA,NA,569346.704692413,5709687.37231272,0,10,20,40,40,10,30,20,40,40,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0112",NA,NA,569348.744580088,5713597.79795332,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id3308",NA,NA,569350.710744274,5710419.07772174,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id0113",NA,NA,569350.732039989,5712466.25352861,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx022",NA,NA,569359.669198314,5706775.54436765,0,10,16.6,33.2,33.2,10,30,9.545,63.495,12.035,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx023",NA,NA,569359.701781065,5709898.28731763,0,10,12.5,25,25,10,30,12.5,25,25,30,50,12.5,25,25,50,70,12.5,25,25,70,90,12.5,25,25
"idx024",NA,NA,569360.715109228,5711216.7565064,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1865",NA,NA,569363.70367421,5710231.15328381,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0114",NA,NA,569364.70136635,5710047.22732288,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0115","L","Parabraunerde",569365.658648429,5705990.86018956,0,10,16.5,66.5,21,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx025",NA,NA,569379.701081582,5710587.00990058,0,10,16.6,33.2,33.2,10,30,20,40,40,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3485",NA,NA,569379.709442363,5711391.68592442,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx026",NA,NA,569383.72372173,5712920.07049776,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0117",NA,NA,569389.703447954,5711193.76553224,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0116",NA,NA,569389.735850657,5714320.50651625,0,10,16.5,66.5,21,10,30,15.51,62.51,19.74,30,50,13.695,55.195,17.43,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id0118","L","Parabraunerde",569392.646335318,5705821.92809973,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id2843",NA,NA,569393.694544682,5710488.04964031,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0119","Z","Pararendzina",569399.653488561,5706769.54662123,0,10,16.5,66.5,21,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id2844",NA,NA,569406.704731414,5711963.45547953,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0120",NA,NA,569406.71518696,5712973.04894635,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,16.6,33.2,33.2,50,70,16.6,33.2,33.2,70,90,NA,NA,NA
"id2845",NA,NA,569411.702024497,5711892.48401403,0,10,18.8,37.6,37.6,10,30,16.6,33.2,33.2,30,50,7.8125,26.5625,34.375,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1866",NA,NA,569412.724537838,5714106.59241488,0,10,20,40,40,10,30,20,40,40,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1867",NA,NA,569413.685763179,5710400.08491174,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0121",NA,NA,569415.708519364,5712672.17002008,0,10,12.5,42.5,55,10,30,12.5,42.5,55,30,50,12.5,42.5,55,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0122",NA,NA,569418.71981987,5713879.68373031,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0123",NA,NA,569419.682874046,5710349.10539471,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0124",NA,NA,569423.719153523,5714006.63255449,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"idx027",NA,NA,569424.709049296,5713067.01093661,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1868",NA,NA,569433.677802234,5710391.08838941,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0125","Z","Pararendzina",569436.638619772,5706731.56176476,0,10,16.5,66.5,21,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0126",NA,NA,569438.711383716,5713828.70405444,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id1869",NA,NA,569443.667705543,5709796.32780105,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2846",NA,NA,569446.678152733,5710918.87577133,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0127",NA,NA,569448.683363396,5711498.64229404,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id2847",NA,NA,569454.688178602,5712193.36248054,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0128","B","Braunerde",569455.629587587,5706577.62366441,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,12.5,25,25,50,70,12.5,25,25,70,90,12.5,25,25
"idx028",NA,NA,569457.69898396,5713354.8946799,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1870",NA,NA,569460.659492167,5709648.38725739,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2848",NA,NA,569460.705588333,5714110.59029893,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx029",NA,NA,569464.694712854,5713208.95338691,0,10,7.8125,26.5625,34.375,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1871",NA,NA,569471.702008212,5714185.55998808,0,10,20,40,40,10,30,20,40,40,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0129",NA,NA,569472.699461355,5713976.64412062,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id3309",NA,NA,569479.667246253,5711120.79420333,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2849",NA,NA,569487.694782612,5714098.59484577,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1872",NA,NA,569488.656145727,5710389.08879687,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0130",NA,NA,569491.654697138,5710363.09924128,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id3310",NA,NA,569495.670841002,5712080.40761005,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0131",NA,NA,569495.683648135,5713323.90678577,0,10,18.8,37.6,37.6,10,30,18.8,37.6,37.6,30,50,20,40,40,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx030",NA,NA,569497.6818291,5713223.9470266,0,10,7.8125,26.5625,34.375,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2850","Q","Regosol",569500.61031066,5706415.68869216,0,10,11.75,39.95,51.7,10,30,10.375,35.275,45.65,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2851",NA,NA,569501.613837318,5706793.53655231,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0132","L","Parabraunerde",569502.603939895,5705876.90561526,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,15.51,62.51,19.74
"id0133",NA,NA,569504.669916708,5712335.304871,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0134","B","Braunerde",569506.606265164,5706251.75467598,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,12.5,25,25,50,70,12.5,25,25,70,90,12.5,25,25
"id1873",NA,NA,569507.657064325,5711202.76097183,0,10,20,40,40,10,30,12.5,25,25,30,50,20,40,40,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3311",NA,NA,569509.662508604,5711807.51739468,0,10,18.8,37.6,37.6,10,30,7.8125,26.5625,34.375,30,50,7.8125,26.5625,34.375,50,70,7.8125,26.5625,34.375,70,90,7.8125,26.5625,34.375
"id0135",NA,NA,569512.659585784,5711638.58540651,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0136","D","Pelosol",569517.602825421,5706334.72123065,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,11.75,39.95,51.7,50,70,11.75,39.95,51.7,70,90,11.75,39.95,51.7
"id2852",NA,NA,569519.646733774,5710658.97987889,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx031",NA,NA,569533.662707296,5712747.13873076,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1874",NA,NA,569535.642691462,5710877.8915924,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0137",NA,NA,569538.636157665,5710358.10091557,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id0138",NA,NA,569539.653261064,5712058.41608347,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx032",NA,NA,569548.662171225,5713271.92720222,0,10,16.6,33.2,33.2,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0139","L","Parabraunerde",569550.584382787,5705798.93685597,0,10,16.5,66.5,21,10,30,16.5,66.5,21,30,50,16.5,66.5,21,50,70,16.5,66.5,21,70,90,16.5,66.5,21
"id1875",NA,NA,569551.659457813,5713122.98716792,0,10,18.8,37.6,37.6,10,30,16.6,33.2,33.2,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0140","B","Braunerde",569553.587253858,5706189.77946484,0,10,15.51,62.51,19.74,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,18.8,37.6,37.6,70,90,18.8,37.6,37.6
"id0141",NA,NA,569557.654554865,5712876.08656523,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,18.8,37.6,37.6,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx033",NA,NA,569558.637059049,5711210.75734537,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx034",NA,NA,569565.628713098,5710666.97631445,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3312","Q","Regosol",569577.579969415,5706392.69766567,0,10,10.375,35.275,45.65,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0142",NA,NA,569587.628846474,5711523.63108601,0,10,20,40,40,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id0143",NA,NA,569594.633433455,5712240.34231855,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,16.6,33.2,33.2,50,70,NA,NA,NA,70,90,NA,NA,NA
"id1876",NA,NA,569600.617307712,5710897.88304133,0,10,18.8,37.6,37.6,10,30,20,40,40,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"idx035",NA,NA,569601.613304531,5710546.02476532,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2853",NA,NA,569605.636632964,5712977.04544002,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3313",NA,NA,569613.623011967,5711954.45731778,0,10,18.8,37.6,37.6,10,30,12.5,25,25,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id2854",NA,NA,569615.624698879,5712196.35985051,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0144",NA,NA,569615.626079576,5712331.30548738,0,10,20,40,40,10,30,16.6,33.2,33.2,30,50,16.6,33.2,33.2,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3487",NA,NA,569617.620769689,5711889.48345781,0,10,18.8,37.6,37.6,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id0145",NA,NA,569619.640773307,5713923.66393362,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,20,40,40,50,70,20,40,40,70,90,20,40,40
"id2855",NA,NA,569619.641314165,5713976.6425891,0,10,20,40,40,10,30,18.8,37.6,37.6,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"id3314",NA,NA,569622.613191744,5711341.70408539,0,10,20,40,40,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
"idx036",NA,NA,569630.601279514,5710486.04871175,0,10,12.5,25,25,10,30,NA,NA,NA,30,50,NA,NA,NA,50,70,NA,NA,NA,70,90,NA,NA,NA
